order_id,review_score
ord_0,4.0
ord_1,5.0
ord_2,5.0
ord_3,2.0
ord_4,2.0
ord_5,4.0
ord_6,2.0
ord_7,4.0
ord_8,1.0
ord_9,2.0
ord_10,1.0
ord_11,3.0
ord_12,4.0
ord_13,3.0
ord_14,2.0
ord_15,1.0
ord_16,2.0
ord_17,3.0
ord_18,2.0
ord_19,5.0
ord_20,3.0
ord_21,2.0
ord_22,1.0
ord_23,2.0
ord_24,1.0
ord_25,5.0
ord_26,2.0
ord_27,5.0
ord_28,3.0
ord_29,1.0
ord_30,3.0
ord_31,1.0
ord_32,5.0
ord_33,4.0
ord_34,2.0
ord_35,5.0
ord_36,1.0
ord_37,1.0
ord_38,1.0
ord_39,1.0
ord_40,2.0
ord_41,3.0
ord_42,4.0
ord_43,2.0
ord_44,1.0
ord_45,2.0
ord_46,5.0
ord_47,1.0
ord_48,4.0
ord_49,1.0
ord_50,4.0
ord_51,4.0
ord_52,3.0
ord_53,3.0
ord_54,2.0
ord_55,2.0
ord_56,4.0
ord_57,1.0
ord_58,5.0
ord_59,5.0
ord_60,1.0
ord_61,1.0
ord_62,3.0
ord_63,5.0
ord_64,4.0
ord_65,2.0
ord_66,3.0
ord_67,5.0
ord_68,1.0
ord_69,5.0
ord_70,4.0
ord_71,3.0
ord_72,1.0
ord_73,4.0
ord_74,2.0
ord_75,3.0
ord_76,4.0
ord_77,4.0
ord_78,1.0
ord_79,2.0
ord_80,4.0
ord_81,3.0
ord_82,4.0
ord_83,5.0
ord_84,3.0
ord_85,3.0
ord_86,4.0
ord_87,1.0
ord_88,3.0
ord_89,5.0
ord_90,1.0
ord_91,1.0
ord_92,1.0
ord_93,3.0
ord_94,1.0
ord_95,4.0
ord_96,1.0
ord_97,5.0
ord_98,2.0
ord_99,5.0
ord_100,3.0
ord_101,1.0
ord_102,1.0
ord_103,4.0
ord_104,1.0
ord_105,5.0
ord_106,3.0
ord_107,2.0
ord_108,1.0
ord_109,2.0
ord_110,1.0
ord_111,3.0
ord_112,5.0
ord_113,3.0
ord_114,2.0
ord_115,1.0
ord_116,2.0
ord_117,5.0
ord_118,3.0
ord_119,2.0
ord_120,2.0
ord_121,5.0
ord_122,1.0
ord_123,2.0
ord_124,5.0
ord_125,1.0
ord_126,1.0
ord_127,3.0
ord_128,5.0
ord_129,1.0
ord_130,3.0
ord_131,4.0
ord_132,5.0
ord_133,4.0
ord_134,1.0
ord_135,5.0
ord_136,3.0
ord_137,1.0
ord_138,5.0
ord_139,5.0
ord_140,4.0
ord_141,1.0
ord_142,3.0
ord_143,3.0
ord_144,1.0
ord_145,1.0
ord_146,2.0
ord_147,4.0
ord_148,1.0
ord_149,1.0
ord_150,2.0
ord_151,2.0
ord_152,5.0
ord_153,3.0
ord_154,4.0
ord_155,5.0
ord_156,1.0
ord_157,2.0
ord_158,3.0
ord_159,5.0
ord_160,3.0
ord_161,2.0
ord_162,5.0
ord_163,5.0
ord_164,3.0
ord_165,2.0
ord_166,1.0
ord_167,5.0
ord_168,1.0
ord_169,2.0
ord_170,5.0
ord_171,5.0
ord_172,1.0
ord_173,4.0
ord_174,1.0
ord_175,1.0
ord_176,4.0
ord_177,2.0
ord_178,2.0
ord_179,5.0
ord_180,3.0
ord_181,3.0
ord_182,5.0
ord_183,3.0
ord_184,1.0
ord_185,1.0
ord_186,4.0
ord_187,4.0
ord_188,5.0
ord_189,5.0
ord_190,5.0
ord_191,1.0
ord_192,3.0
ord_193,5.0
ord_194,5.0
ord_195,1.0
ord_196,1.0
ord_197,1.0
ord_198,3.0
ord_199,5.0
ord_200,2.0
ord_201,2.0
ord_202,5.0
ord_203,5.0
ord_204,5.0
ord_205,5.0
ord_206,3.0
ord_207,2.0
ord_208,4.0
ord_209,2.0
ord_210,2.0
ord_211,1.0
ord_212,5.0
ord_213,5.0
ord_214,5.0
ord_215,1.0
ord_216,3.0
ord_217,3.0
ord_218,4.0
ord_219,3.0
ord_220,3.0
ord_221,5.0
ord_222,2.0
ord_223,3.0
ord_224,3.0
ord_225,1.0
ord_226,4.0
ord_227,1.0
ord_228,5.0
ord_229,2.0
ord_230,4.0
ord_231,1.0
ord_232,3.0
ord_233,3.0
ord_234,4.0
ord_235,3.0
ord_236,1.0
ord_237,1.0
ord_238,3.0
ord_239,3.0
ord_240,5.0
ord_241,2.0
ord_242,4.0
ord_243,1.0
ord_244,4.0
ord_245,5.0
ord_246,1.0
ord_247,5.0
ord_248,5.0
ord_249,3.0
ord_250,4.0
ord_251,4.0
ord_252,3.0
ord_253,4.0
ord_254,3.0
ord_255,1.0
ord_256,5.0
ord_257,5.0
ord_258,4.0
ord_259,2.0
ord_260,5.0
ord_261,3.0
ord_262,2.0
ord_263,2.0
ord_264,5.0
ord_265,5.0
ord_266,5.0
ord_267,3.0
ord_268,2.0
ord_269,4.0
ord_270,3.0
ord_271,1.0
ord_272,5.0
ord_273,2.0
ord_274,3.0
ord_275,1.0
ord_276,3.0
ord_277,3.0
ord_278,4.0
ord_279,4.0
ord_280,3.0
ord_281,1.0
